zip,stusps,cd116fp
00601,PR,98
00602,PR,98
00603,PR,98
00606,PR,98
00610,PR,98
00611,PR,98
00612,PR,98
00616,PR,98
00617,PR,98
00622,PR,98
00623,PR,98
00624,PR,98
00627,PR,98
00631,PR,98
00636,PR,98
00637,PR,98
00638,PR,98
00641,PR,98
00646,PR,98
00647,PR,98
00650,PR,98
00652,PR,98
00653,PR,98
00656,PR,98
00659,PR,98
00660,PR,98
00662,PR,98
00664,PR,98
00667,PR,98
00669,PR,98
00670,PR,98
00674,PR,98
00676,PR,98
00677,PR,98
00678,PR,98
00680,PR,98
00682,PR,98
00683,PR,98
00685,PR,98
00687,PR,98
00688,PR,98
00690,PR,98
00692,PR,98
00693,PR,98
00694,PR,98
00698,PR,98
00703,PR,98
00704,PR,98
00705,PR,98
00707,PR,98
00714,PR,98
00715,PR,98
00716,PR,98
00717,PR,98
00718,PR,98
00719,PR,98
00720,PR,98
00723,PR,98
00725,PR,98
00727,PR,98
00728,PR,98
00729,PR,98
00730,PR,98
00731,PR,98
00735,PR,98
00736,PR,98
00738,PR,98
00739,PR,98
00740,PR,98
00741,PR,98
00745,PR,98
00751,PR,98
00754,PR,98
00757,PR,98
00765,PR,98
00766,PR,98
00767,PR,98
00769,PR,98
00771,PR,98
00772,PR,98
00773,PR,98
00775,PR,98
00777,PR,98
00778,PR,98
00780,PR,98
00782,PR,98
00783,PR,98
00784,PR,98
00786,PR,98
00791,PR,98
00794,PR,98
00795,PR,98
00802,VI,98
00820,VI,98
00830,VI,98
00840,VI,98
00850,VI,98
00851,VI,98
00901,PR,98
00906,PR,98
00907,PR,98
00909,PR,98
00911,PR,98
00912,PR,98
00913,PR,98
00915,PR,98
00917,PR,98
00918,PR,98
00920,PR,98
00921,PR,98
00923,PR,98
00924,PR,98
00925,PR,98
00926,PR,98
00927,PR,98
00934,PR,98
00949,PR,98
00950,PR,98
00951,PR,98
00952,PR,98
00953,PR,98
00956,PR,98
00957,PR,98
00959,PR,98
00960,PR,98
00961,PR,98
00962,PR,98
00965,PR,98
00966,PR,98
00968,PR,98
00969,PR,98
00971,PR,98
00976,PR,98
00979,PR,98
00982,PR,98
00983,PR,98
00985,PR,98
00987,PR,98
01001,MA,01
01001,CT,02
01002,MA,01
01002,MA,02
01003,MA,02
01005,MA,02
01007,MA,01
01007,MA,02
01008,MA,01
01009,MA,01
01009,MA,02
01010,MA,01
01011,MA,01
01012,MA,01
01013,MA,01
01020,MA,01
01022,MA,01
01026,MA,01
01027,MA,01
01027,MA,02
01028,MA,01
01028,CT,02
01029,MA,01
01030,MA,01
01030,CT,02
01031,MA,02
01032,MA,01
01033,MA,01
01033,MA,02
01034,MA,01
01034,CT,01
01035,MA,01
01035,MA,02
01036,MA,01
01036,CT,02
01037,MA,02
01038,MA,02
01039,MA,01
01039,MA,02
01040,MA,01
01040,MA,02
01050,MA,01
01053,MA,01
01053,MA,02
01054,MA,02
01056,MA,01
01056,MA,02
01057,MA,01
01057,CT,02
01060,MA,01
01060,MA,02
01062,MA,01
01062,MA,02
01063,MA,02
01066,MA,02
01068,MA,02
01069,MA,01
01069,MA,02
01070,MA,01
01071,MA,01
01072,MA,02
01073,MA,01
01074,MA,02
01075,MA,01
01075,MA,02
01077,MA,01
01077,CT,01
01077,CT,02
01079,MA,01
01080,MA,01
01080,MA,02
01081,MA,01
01081,CT,02
01082,MA,01
01082,MA,02
01083,MA,01
01083,MA,02
01084,MA,01
01085,MA,01
01088,MA,01
01088,MA,02
01089,MA,01
01092,MA,01
01093,MA,01
01093,MA,02
01094,MA,02
01095,MA,01
01096,MA,01
01096,MA,02
01097,MA,01
01098,MA,01
01103,MA,01
01104,MA,01
01105,MA,01
01106,MA,01
01106,CT,02
01107,MA,01
01108,MA,01
01109,MA,01
01118,MA,01
01119,MA,01
01128,MA,01
01129,MA,01
01144,MA,01
01151,MA,01
01201,MA,01
01201,NY,19
01220,MA,01
01222,MA,01
01222,CT,05
01223,MA,01
01224,MA,01
01225,MA,01
01226,MA,01
01229,MA,01
01230,MA,01
01230,NY,19
01235,MA,01
01236,MA,01
01237,MA,01
01237,NY,19
01238,MA,01
01240,MA,01
01242,MA,01
01243,MA,01
01244,MA,01
01245,MA,01
01247,VT,00
01247,MA,01
01253,MA,01
01254,MA,01
01254,NY,19
01255,MA,01
01255,CT,01
01255,CT,05
01256,MA,01
01257,MA,01
01257,CT,05
01258,MA,01
01258,CT,05
01258,NY,19
01259,MA,01
01259,CT,05
01260,MA,01
01262,MA,01
01264,MA,01
01266,MA,01
01266,NY,19
01267,VT,00
01267,MA,01
01267,NY,19
01270,MA,01
01301,MA,01
01301,MA,02
01330,MA,01
01331,MA,02
01337,VT,00
01337,MA,01
01337,MA,02
01338,MA,01
01339,MA,01
01340,VT,00
01340,MA,01
01340,MA,02
01341,MA,01
01341,MA,02
01342,MA,01
01342,MA,02
01343,MA,01
01344,MA,02
01346,MA,01
01347,MA,02
01349,MA,02
01350,VT,00
01350,MA,01
01351,MA,02
01354,MA,01
01354,MA,02
01355,MA,02
01360,VT,00
01360,MA,01
01360,MA,02
01360,NH,02
01364,MA,02
01366,MA,02
01367,VT,00
01367,MA,01
01368,MA,02
01368,NH,02
01370,MA,01
01370,MA,02
01373,MA,01
01373,MA,02
01375,MA,02
01376,MA,02
01378,MA,02
01378,NH,02
01379,MA,02
01380,MA,02
01420,MA,03
01420,MA,02
01430,MA,03
01430,NH,02
01431,MA,03
01431,NH,02
01432,MA,03
01434,MA,03
01436,MA,03
01436,MA,02
01438,MA,02
01440,MA,03
01440,MA,02
01450,MA,03
01451,MA,03
01452,MA,03
01452,MA,02
01453,MA,03
01453,MA,02
01460,MA,03
01462,MA,03
01462,MA,02
01463,MA,03
01463,NH,02
01464,MA,03
01468,MA,03
01468,MA,02
01469,MA,03
01469,NH,02
01473,MA,03
01473,MA,02
01474,MA,03
01474,NH,02
01475,MA,03
01475,MA,02
01475,NH,02
01501,MA,02
01503,MA,03
01503,MA,02
01504,MA,04
01504,MA,02
01504,RI,01
01505,MA,03
01505,MA,02
01506,MA,01
01506,MA,02
01507,MA,01
01507,MA,02
01510,MA,03
01510,MA,02
01515,MA,01
01515,MA,02
01516,MA,02
01516,RI,02
01516,CT,02
01518,MA,01
01519,MA,02
01520,MA,02
01521,MA,01
01521,CT,02
01522,MA,02
01523,MA,03
01523,MA,02
01524,MA,02
01525,MA,02
01527,MA,02
01529,MA,02
01529,RI,01
01531,MA,02
01532,MA,03
01532,MA,05
01532,MA,02
01534,MA,02
01535,MA,01
01535,MA,02
01536,MA,02
01537,MA,01
01537,MA,02
01540,MA,01
01540,MA,02
01541,MA,03
01541,MA,02
01542,MA,01
01542,MA,02
01543,MA,02
01545,MA,02
01550,MA,01
01550,CT,02
01560,MA,02
01561,MA,03
01562,MA,01
01562,MA,02
01564,MA,03
01564,MA,02
01566,MA,01
01566,CT,02
01568,MA,04
01568,MA,02
01569,MA,02
01569,RI,01
01569,RI,02
01570,MA,01
01570,MA,02
01570,CT,02
01571,MA,01
01571,MA,02
01571,CT,02
01581,MA,05
01581,MA,04
01581,MA,02
01583,MA,02
01585,MA,01
01585,MA,02
01588,MA,02
01590,MA,02
01602,MA,02
01603,MA,02
01604,MA,02
01605,MA,02
01606,MA,02
01607,MA,02
01608,MA,02
01609,MA,02
01610,MA,02
01611,MA,02
01612,MA,02
01701,MA,03
01701,MA,05
01702,MA,05
01718,MA,03
01719,MA,03
01720,MA,03
01721,MA,05
01721,MA,04
01730,MA,03
01730,MA,05
01730,MA,06
01731,MA,03
01731,MA,05
01731,MA,06
01740,MA,03
01741,MA,03
01741,MA,06
01742,MA,03
01742,MA,05
01742,MA,06
01745,MA,05
01746,MA,05
01746,MA,04
01747,MA,04
01747,MA,02
01748,MA,05
01748,MA,04
01748,MA,02
01749,MA,03
01749,MA,05
01752,MA,03
01752,MA,05
01752,MA,02
01754,MA,03
01754,MA,05
01756,MA,04
01756,MA,02
01757,MA,05
01757,MA,04
01757,MA,02
01760,MA,05
01760,MA,04
01770,MA,05
01770,MA,04
01772,MA,03
01772,MA,05
01772,MA,04
01772,MA,02
01773,MA,03
01773,MA,05
01773,MA,06
01775,MA,03
01775,MA,05
01776,MA,03
01776,MA,05
01778,MA,03
01778,MA,05
01801,MA,05
01801,MA,06
01803,MA,05
01803,MA,06
01810,MA,03
01810,MA,06
01821,MA,03
01821,MA,06
01824,MA,03
01824,MA,06
01826,MA,03
01826,MA,06
01826,NH,02
01827,MA,03
01827,NH,02
01830,MA,03
01830,MA,06
01830,NH,01
01832,MA,03
01832,NH,01
01832,NH,02
01833,MA,06
01834,MA,03
01834,MA,06
01835,MA,03
01835,MA,06
01840,MA,03
01841,MA,03
01841,MA,06
01843,MA,03
01843,MA,06
01844,MA,03
01844,MA,06
01844,NH,02
01845,MA,03
01845,MA,06
01850,MA,03
01851,MA,03
01852,MA,03
01852,MA,06
01854,MA,03
01860,MA,03
01860,MA,06
01860,NH,01
01862,MA,03
01862,MA,06
01863,MA,03
01864,MA,06
01867,MA,05
01867,MA,06
01876,MA,03
01876,MA,06
01879,MA,03
01879,NH,02
01880,MA,05
01880,MA,06
01886,MA,03
01887,MA,03
01887,MA,05
01887,MA,06
01890,MA,05
01901,MA,06
01902,MA,06
01904,MA,06
01905,MA,05
01905,MA,06
01906,MA,05
01906,MA,06
01907,MA,06
01908,MA,06
01913,MA,06
01913,NH,01
01915,MA,06
01921,MA,03
01921,MA,06
01922,MA,06
01923,MA,06
01929,MA,06
01930,MA,06
01937,MA,06
01938,MA,06
01940,MA,06
01944,MA,06
01945,MA,06
01949,MA,06
01950,MA,06
01951,MA,06
01952,MA,06
01952,NH,01
01960,MA,06
01965,MA,06
01966,MA,06
01969,MA,06
01970,MA,06
01982,MA,06
01983,MA,06
01984,MA,06
01985,MA,03
01985,MA,06
02019,MA,04
02019,MA,02
02019,RI,01
02021,MA,04
02021,MA,07
02021,MA,08
02025,MA,08
